task_name,raw_excel_path,target_chembl_id,target_organism,target_pref_name,assay_type,standard_type,molecules_num,processed_data_dir
F_CHEMBL4333_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target68.csv,CHEMBL4333,Homo sapiens,Sphingosine 1-phosphate receptor Edg-1,F,IC50,261,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target68
F_CHEMBL5071_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target56.csv,CHEMBL5071,Homo sapiens,G protein-coupled receptor 44,F,IC50,907,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target56
F_CHEMBL1855_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target61.csv,CHEMBL1855,Homo sapiens,Gonadotropin-releasing hormone receptor,F,IC50,560,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target61
F_CHEMBL1075322_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target35.csv,CHEMBL1075322,Homo sapiens,G-protein coupled receptor 55,F,IC50,388,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target35
F_CHEMBL218_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target79.csv,CHEMBL218,Homo sapiens,Cannabinoid CB1 receptor,F,IC50,912,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target79
F_CHEMBL4691_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target43.csv,CHEMBL4691,Homo sapiens,Proteinase activated receptor 4,F,IC50,695,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target43
F_CHEMBL2731_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target18.csv,CHEMBL2731,Homo sapiens,Galanin receptor 3,F,IC50,172,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target18
F_CHEMBL1833_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target67.csv,CHEMBL1833,Homo sapiens,Serotonin 2b (5-HT2b) receptor,F,IC50,153,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target67
F_CHEMBL3371_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target62.csv,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,F,IC50,606,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target62
F_CHEMBL5493_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target42.csv,CHEMBL5493,Homo sapiens,Free fatty acid receptor 2,F,IC50,141,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target42
F_CHEMBL245_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target50.csv,CHEMBL245,Homo sapiens,Muscarinic acetylcholine receptor M3,F,IC50,244,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target50
F_CHEMBL255_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target41.csv,CHEMBL255,Homo sapiens,Adenosine A2b receptor,F,IC50,419,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target41
F_CHEMBL1785_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target1.csv,CHEMBL1785,Homo sapiens,Endothelin receptor ET-B,F,IC50,126,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target1
F_CHEMBL1293267_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target16.csv,CHEMBL1293267,Homo sapiens,G-protein coupled receptor 35,F,IC50,263,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target16
F_CHEMBL264_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target71.csv,CHEMBL264,Homo sapiens,Histamine H3 receptor,F,IC50,491,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target71
F_CHEMBL2107_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target11.csv,CHEMBL2107,Homo sapiens,C-X-C chemokine receptor type 4,F,IC50,465,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target11
F_CHEMBL227_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target45.csv,CHEMBL227,Homo sapiens,Type-1 angiotensin II receptor,F,IC50,314,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target45
F_CHEMBL4777_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target30.csv,CHEMBL4777,Homo sapiens,Neuropeptide Y receptor type 1,F,IC50,194,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target30
F_CHEMBL237_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target44.csv,CHEMBL237,Homo sapiens,Kappa opioid receptor,F,IC50,716,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target44
F_CHEMBL4429_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target78.csv,CHEMBL4429,Homo sapiens,Neurokinin 3 receptor,F,IC50,114,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target78
F_CHEMBL4441_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target72.csv,CHEMBL4441,Homo sapiens,C-X-C chemokine receptor type 3,F,IC50,409,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target72
F_CHEMBL226_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target74.csv,CHEMBL226,Homo sapiens,Adenosine A1 receptor,F,IC50,134,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target74
F_CHEMBL216_IC50,./data/ChEMBL_data/in_vitro/F/Targets_G/IC50/IC50_target17.csv,CHEMBL216,Homo sapiens,Muscarinic acetylcholine receptor M1,F,IC50,392,./data/ChEMBL_data/Datasets/norm_pValue/F/Targets_G/IC50/IC50_target17
